source,target,value
CT264,CT263,22316
CT264,CT31,25192
CT306,CT100,3787
CT306,CT237,7732
CT306,CT128,7775
CT306,CT92,10370
CT56,CT48,11316
CT56,CT305,16504
CT56,CT13,20358
CT56,CT94,27850
CT204,CT8,44342
CT204,CT179,18486
CT204,CT52,20424
CT204,CT296,45694
CT211,CT4,22837
CT211,CT257,8764
CT211,CT121,15345
CT211,CT320,21862
CT211,CT130,21931
CT145,CT57,15039
CT145,CT215,16166
CT145,CT189,19299
CT145,CT282,20043
CT314,CT82,3863
CT314,CT275,24516
CT314,CT12,33832
CT35,CT150,8059
CT35,CT38,9606
CT35,CT195,10631
CT139,CT216,12187
CT139,CT236,8022
CT139,CT164,10365
CT261,CT182,28458
CT261,CT54,31665
CT261,CT163,37436
CT303,CT229,5153
CT303,CT152,18943
CT303,CT159,19095
CT303,CT110,22544
CT205,CT193,16684
CT205,CT127,19978
CT205,CT37,22908
CT205,CT208,25020
CT205,CT76,25950
CT214,CT33,15087
CT214,CT76,16278
CT214,CT91,15056
CT214,CT166,9459
CT214,CT120,19129
CT214,CT146,16146
CT214,CT270,23720
CT214,CT26,24578
CT242,CT313,15888
CT242,CT312,27355
CT242,CT16,9404
CT242,CT273,18253
CT242,CT40,20816
CT53,CT227,7449
CT53,CT140,10468
CT53,CT70,16178
CT53,CT10,19688
CT53,CT200,22980
CT53,CT291,20471
CT118,CT178,16957
CT118,CT270,24887
CT118,CT69,34834
CT131,CT8,23819
CT131,CT249,24221
CT131,CT267,40889
CT131,CT115,48187
CT151,CT269,20357
CT151,CT20,12106
CT151,CT282,19508
CT119,CT308,27376
CT119,CT217,17107
CT119,CT21,22152
CT119,CT122,27349
CT119,CT161,28729
CT173,CT190,32923
CT173,CT17,19629
CT173,CT266,23170
CT173,CT225,23470
CT177,CT107,32218
CT177,CT296,22853
CT281,CT9,13264
CT281,CT200,21033
CT281,CT100,6667
CT281,CT237,5013
CT79,CT223,12696
CT79,CT188,22685
CT72,CT199,15846
CT72,CT272,8761
CT72,CT279,12728
CT72,CT246,12988
CT72,CT187,17417
CT172,CT162,20268
CT227,CT70,21509
CT227,CT10,16389
CT227,CT291,19329
CT47,CT123,22363
CT47,CT271,23201
CT47,CT222,27704
CT47,CT25,28099
CT320,CT323,19577
CT320,CT255,17382
CT320,CT187,19469
CT110,CT50,17099
CT110,CT229,21943
CT110,CT238,12676
CT319,CT61,23114
CT319,CT149,35135
CT319,CT168,44301
CT319,CT318,54181
CT299,CT54,22024
CT299,CT224,15648
CT299,CT27,18805
CT299,CT297,25554
CT299,CT183,45061
CT299,CT182,34712
CT116,CT26,18935
CT116,CT262,21329
CT89,CT41,22575
CT89,CT49,13135
CT89,CT78,16898
CT89,CT236,13063
CT89,CT155,15618
CT272,CT37,18341
CT272,CT199,16168
CT272,CT246,9908
CT272,CT279,18933
CT27,CT54,28347
CT27,CT224,28125
CT27,CT115,27060
CT27,CT297,10495
CT61,CT318,35878
CT61,CT149,37586
CT61,CT167,57920
CT240,CT64,18932
CT240,CT65,21382
CT240,CT57,22959
CT124,CT77,38870
CT124,CT96,17710
CT124,CT212,31808
CT124,CT55,30423
CT124,CT134,37333
CT216,CT40,11376
CT216,CT247,4552
CT216,CT164,8779
CT216,CT236,16865
CT169,CT318,33676
CT169,CT122,32304
CT169,CT149,32001
CT169,CT14,22915
CT169,CT167,46370
CT135,CT45,4897
CT135,CT125,6223
CT135,CT289,5662
CT135,CT114,14652
CT75,CT105,2536
CT45,CT125,5795
CT45,CT185,12143
CT45,CT104,15972
CT34,CT220,5190
CT34,CT221,18438
CT34,CT162,35534
CT183,CT235,19104
CT183,CT182,25139
CT183,CT224,32529
CT183,CT234,42222
CT243,CT55,24665
CT243,CT212,23891
CT243,CT96,39556
CT71,CT308,25703
CT71,CT304,15379
CT71,CT16,16562
CT71,CT280,16666
CT71,CT253,17079
CT152,CT159,5663
CT152,CT101,6910
CT152,CT241,7704
CT52,CT259,4087
CT52,CT11,15623
CT52,CT179,10647
CT297,CT107,30205
CT297,CT224,29487
CT297,CT115,36210
CT231,CT111,17581
CT161,CT308,19079
CT161,CT217,28732
CT161,CT284,23530
CT161,CT253,24508
CT161,CT21,44355
CT37,CT127,10254
CT37,CT218,18461
CT262,CT193,22480
CT262,CT208,15004
CT262,CT230,18509
CT262,CT120,20705
CT150,CT195,8943
CT150,CT129,7812
CT96,CT55,16746
CT96,CT154,14683
CT96,CT212,34545
CT96,CT134,51637
CT305,CT44,8989
CT305,CT48,18185
CT305,CT13,12911
CT176,CT239,37755
CT176,CT300,39356
CT190,CT17,36484
CT190,CT201,40744
CT190,CT267,51083
CT190,CT249,53655
CT26,CT33,11293
CT26,CT219,25320
CT26,CT120,13278
CT24,CT87,15820
CT24,CT248,9947
CT24,CT22,6871
CT24,CT128,19829
CT247,CT40,13835
CT247,CT313,12954
CT247,CT164,10152
CT275,CT194,22452
CT275,CT82,22363
CT275,CT251,23010
CT275,CT12,45392
CT209,CT142,4803
CT209,CT218,6343
CT209,CT181,16048
CT304,CT280,13231
CT304,CT14,18002
CT304,CT168,21895
CT304,CT149,33536
CT267,CT249,18369
CT121,CT85,12657
CT121,CT130,15641
CT121,CT154,26630
CT197,CT323,6123
CT197,CT265,17873
CT197,CT41,25065
CT197,CT292,25469
CT129,CT195,9712
CT129,CT241,5137
CT129,CT226,7208
CT129,CT101,7884
CT87,CT128,4996
CT223,CT25,27394
CT263,CT31,22541
CT186,CT291,4691
CT244,CT191,7534
CT244,CT141,8041
CT244,CT11,14712
CT244,CT179,16633
CT74,CT39,9842
CT74,CT137,4478
CT74,CT225,7726
CT323,CT255,5388
CT251,CT194,15639
CT251,CT82,43378
CT251,CT111,17222
CT105,CT192,9309
CT105,CT63,11732
CT114,CT198,6341
CT114,CT289,15514
CT266,CT39,12153
CT266,CT225,11596
CT266,CT137,6272
CT95,CT192,9058
CT95,CT93,8278
CT95,CT19,8645
CT166,CT76,16510
CT166,CT90,16378
CT166,CT146,8301
CT166,CT91,15876
CT166,CT218,16351
CT237,CT9,14841
CT237,CT100,5235
CT237,CT128,6299
CT146,CT76,14118
CT146,CT218,12809
CT146,CT127,13125
CT191,CT109,6147
CT191,CT141,7086
CT232,CT158,1954
CT12,CT82,31413
CT12,CT163,26402
CT158,CT192,7791
CT158,CT2,2822
CT6,CT104,10631
CT6,CT265,11033
CT6,CT185,15720
CT63,CT2,896
CT194,CT111,9575
CT31,CT259,2352
CT31,CT93,4163
CT225,CT137,7921
CT225,CT17,34652
CT154,CT55,17865
CT154,CT212,44902
CT154,CT130,13799
CT106,CT317,18716
CT106,CT271,16032
CT106,CT234,24399
CT113,CT86,18499
CT113,CT108,10687
CT230,CT193,20487
CT230,CT148,25392
CT9,CT128,19122
CT257,CT4,19411
CT257,CT311,14425
CT126,CT222,27495
CT126,CT148,12343
CT126,CT1,25074
CT126,CT188,28057
CT195,CT38,7012
CT21,CT217,16646
CT265,CT292,16675
CT50,CT84,15280
CT50,CT103,15564
CT50,CT233,16308
CT50,CT46,21476
CT193,CT208,22092
CT193,CT76,30186
CT284,CT4,18398
CT284,CT85,19014
CT284,CT217,26489
CT25,CT222,34823
CT25,CT123,18136
CT108,CT62,17463
CT108,CT86,17103
CT130,CT55,29154
CT130,CT85,24895
CT312,CT239,15963
CT312,CT313,24559
CT239,CT62,18499
CT65,CT189,7051
CT65,CT57,17293
CT65,CT64,19591
CT65,CT215,23786
CT65,CT10,23403
CT291,CT10,6048
CT220,CT221,15918
CT198,CT32,12014
CT198,CT160,17635
CT198,CT165,24698
CT100,CT92,12873
CT100,CT128,8347
CT229,CT46,1871
CT115,CT54,21162
CT115,CT18,22129
CT165,CT69,16748
CT165,CT289,16410
